date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:32:30	63851/63851	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202019%2002:17:23%20GMT	https://salsanewyork.com/calendar/	D:/salsa/salsanewyork.com/calendar/index.html	(from )
22:32:31	75/75	---M--	200	added ('OK')	text/plain	etag:%2225400d17b296998cd23337635a073fd7%22	https://salsanewyork.com/robots.txt		(from )
22:32:34	1516/1516	---M--	200	added ('OK')	image/png	etag:%2205f4ee80bde119c39bc4cf5e261cdd22%22	https://salsanewyork.com/favicon/apple-icon-57x57.png	D:/salsa/salsanewyork.com/favicon/apple-icon-57x57.png	(from https://salsanewyork.com/calendar/)
22:32:35	1519/1519	---M--	200	added ('OK')	image/png	etag:%2251e466efccd7f9115b9529c3fb50e5da%22	https://salsanewyork.com/favicon/apple-icon-60x60.png	D:/salsa/salsanewyork.com/favicon/apple-icon-60x60.png	(from https://salsanewyork.com/calendar/)
22:32:35	1715/1715	---M--	200	added ('OK')	image/png	etag:%221c4273fc1ec8fb69092e7ecf950a56d5%22	https://salsanewyork.com/favicon/apple-icon-72x72.png	D:/salsa/salsanewyork.com/favicon/apple-icon-72x72.png	(from https://salsanewyork.com/calendar/)
22:32:36	1724/1724	---M--	200	added ('OK')	image/png	etag:%224b31f3a22f5d371d7992e66c5faa6ecf%22	https://salsanewyork.com/favicon/apple-icon-76x76.png	D:/salsa/salsanewyork.com/favicon/apple-icon-76x76.png	(from https://salsanewyork.com/calendar/)
22:32:36	2462/2462	---M--	200	added ('OK')	image/png	etag:%22c4272e44c898ad510290ce851d650aeb%22	https://salsanewyork.com/favicon/apple-icon-114x114.png	D:/salsa/salsanewyork.com/favicon/apple-icon-114x114.png	(from https://salsanewyork.com/calendar/)
22:32:37	529886/529886	---M--	200	added ('OK')	image/png	etag:%2255b23a415c691a058fcc9a693392b93d%22	https://www.salsanewyork.com/salsa-new-york-square.png	D:/salsa/www.salsanewyork.com/salsa-new-york-square.png	(from https://salsanewyork.com/calendar/)
22:32:38	2506/2506	---M--	200	added ('OK')	image/png	etag:%22799f77d01244d4d39cfd2809bcc39ca6%22	https://salsanewyork.com/favicon/apple-icon-120x120.png	D:/salsa/salsanewyork.com/favicon/apple-icon-120x120.png	(from https://salsanewyork.com/calendar/)
22:32:39	3002/3002	---M--	200	added ('OK')	image/png	etag:%22c09858460b7d5dcd23a1822eb7b80631%22	https://salsanewyork.com/favicon/apple-icon-144x144.png	D:/salsa/salsanewyork.com/favicon/apple-icon-144x144.png	(from https://salsanewyork.com/calendar/)
22:32:40	3273/3273	---M--	200	added ('OK')	image/png	etag:%22667ffd94767e115b73980ba67bc0a460%22	https://salsanewyork.com/favicon/apple-icon-152x152.png	D:/salsa/salsanewyork.com/favicon/apple-icon-152x152.png	(from https://salsanewyork.com/calendar/)
22:32:41	4001/4001	---M--	200	added ('OK')	image/png	etag:%2201ca230ab4d1a3271948a33ea11504be%22	https://salsanewyork.com/favicon/apple-icon-180x180.png	D:/salsa/salsanewyork.com/favicon/apple-icon-180x180.png	(from https://salsanewyork.com/calendar/)
